CodigoCompraAgil;RutProveedor;RazonSocial;EsEMT;EstadoCotizacionID;JustificacionInadmisibilidad;ProveedorSeleccionado;EstadoPorComprador;IDOrdenCompra;FechaCreacion;FechaVigencia;ValorNeto;TotalImpuesto;MontoDespacho;MontoTotal;NombreImpuesto;PorcentajeImpuesto;DescripcionCotizacion;Descripcion;IDCotizacion;CodigoSucursalEmpresa;CodigoEmpresa;Activo;TotalProductosCotizados
1057532-52-COT25;78.049.957-5;INGENIERIA Y GESTION AJMB LIMITADA;1;2;;0;;;2025-02-05T03:23:41.217Z;2025-03-07T03:23:34Z;85715;16285.85;0;102000;IVA;19;Oferta por la totalidad de la cotización. Consultas a nexolinkltda@gmail.com;Oferta por la totalidad de la cotización. Consultas a nexolinkltda@gmail.com;564664936;1414502;1995677;;1
1057532-52-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;2;;0;;;2025-02-05T06:08:36.487Z;2025-03-07T06:08:26Z;263060;49981.4;0;313041;IVA;19;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;564667351;1264522;1850423;;1
1057532-52-COT25;77.309.082-3;COMERCIALIZADORA SALAZAR Y PINO SPA;1;2;;0;;;2025-02-05T17:02:59.110Z;2025-03-07T17:02:18Z;454650;86383.5;0;541033;IVA;19;COMERCIALIZADORA SALAZAR Y PINO SPA 77309082-3   comercializadora.salazarjjss@gmail.com  Joaquin Salazar Chamaca Contacto personal: +56965002460;COMERCIALIZADORA SALAZAR Y PINO SPA 77309082-3   comercializadora.salazarjjss@gmail.com  Joaquin Salazar Chamaca Contacto personal: +56965002460;564682482;1305122;1890219;;1
1057532-50-COT25;77.055.754-2;AGUAS AUSTRALES SPA;1;2;;1;12;52148461;2025-02-05T10:09:49.973Z;2025-03-07T09:55:37Z;203000;38570;0;241570;IVA;19;Se adjunta producto ofrecido. Se ofrece de dos medidas 6x10 cm o 8*12 cm a elección  Sin costo de envío.El envio se realiza 2 días hábiles siguientes de recibida OC a través de Starken Contacto Proveedor: ventas@aguas-australes.com  Teléfono: +56984947173;Se adjunta producto ofrecido. Se ofrece de dos medidas 6x10 cm o 8*12 cm a elección  Sin costo de envío.El envio se realiza 2 días hábiles siguientes de recibida OC a través de Starken Contacto Proveedor: ventas@aguas-australes.com  Teléfono: +56984947173;564670452;1094381;1685251;1;1
1057532-50-COT25;77.949.976-6;KORBUX INGENIERÍA, INSTALACIONES, SUMINISTROS E INSUMOS LIMITADA;1;2;;0;;;2025-02-05T03:24:40.620Z;2025-03-07T03:24:31Z;280000;53200;0;333200;IVA;19;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;564664962;1377355;1961345;;1
1057532-50-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;2;;0;;;2025-02-05T07:09:33.510Z;2025-03-07T07:09:22Z;336000;63840;0;399840;IVA;19;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;564667744;1264522;1850423;;1
1057532-50-COT25;77.309.082-3;COMERCIALIZADORA SALAZAR Y PINO SPA;1;2;;0;;;2025-02-05T12:52:12.543Z;2025-03-07T12:39:42Z;700000;133000;0;833000;IVA;19;Favor pedir mas detalles al siguiente contacto:  Patricio Aravena +56963076719 comercializadora.salazarjjss@gmail.com  Respondemos a la brevedad;Favor pedir mas detalles al siguiente contacto:  Patricio Aravena +56963076719 comercializadora.salazarjjss@gmail.com  Respondemos a la brevedad;564675513;1305122;1890219;;1
1057532-49-COT25;77.637.561-6;INVERSIONES AS SPA;1;2;;1;12;52147442;2025-02-04T16:09:35.970Z;2025-03-06T15:49:11Z;467800;88882;0;556682;IVA;19;COTIZACION INCLUYE BOMBIN HIDRAULICO ORIGINAL, DESPACHO Y MANO DE OBRA EN TERRENO (BASE SAMU OSORNO). PLAZO ENTREGA, 6 DIAS. CONTACTO: CARLOS AZOCAR  , 940689305;COTIZACION INCLUYE BOMBIN HIDRAULICO ORIGINAL, DESPACHO Y MANO DE OBRA EN TERRENO (BASE SAMU OSORNO). PLAZO ENTREGA, 6 DIAS. CONTACTO: CARLOS AZOCAR  , 940689305;564650428;1259761;1845786;1;1
1057532-49-COT25;77.949.976-6;KORBUX INGENIERÍA, INSTALACIONES, SUMINISTROS E INSUMOS LIMITADA;1;2;;0;;;2025-02-05T04:27:24.347Z;2025-03-07T04:27:15Z;521926;99165.94;0;621091;IVA;19;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;564666336;1377355;1961345;;1
1057532-49-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;2;;0;;;2025-02-05T07:13:32.343Z;2025-03-07T07:13:20Z;691495;131384.05;0;822879;IVA;19;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;564667771;1264522;1850423;;1
1057532-48-COT25;77.500.240-9;PRODUCTORA DE TARJETAS DE IDENTIFICACION E-MACH CARD LIMITADA;1;2;;1;12;52146914;2025-02-05T00:26:14.220Z;2025-03-07T00:15:44Z;274800;52212;0;327012;IVA;19;"Se adjunta Oferta ""EMACH""";"Se adjunta Oferta ""EMACH""";564659538;84134;81899;1;4
1057532-48-COT25;77.714.157-0;COMERCIALIZADORA C & S SPA;1;2;;0;;;2025-02-05T00:09:06.883Z;2025-03-07T00:08:56Z;311378;59161.82;0;370539;IVA;19;Favor revisar documento adjunto. Nos comprometemos a cumplir con la totalidad de los elementos técnicos, económicos y administrativos solicitados en la compra ágil 1057532-48-COT25.;Favor revisar documento adjunto. Nos comprometemos a cumplir con la totalidad de los elementos técnicos, económicos y administrativos solicitados en la compra ágil 1057532-48-COT25.;564658880;1278774;1864349;;4
1057532-48-COT25;77.949.976-6;KORBUX INGENIERÍA, INSTALACIONES, SUMINISTROS E INSUMOS LIMITADA;1;2;;0;;;2025-02-05T01:03:29.333Z;2025-03-07T01:03:19Z;336764;63985.16;0;400749;IVA;19;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;Hemos asegurado la inclusión de todos los elementos necesarios. Si tienes dudas, contáctanos en sotogustavoa@yahoo.com;564660921;1377355;1961345;;4
1057532-48-COT25;77.660.833-5;INGENIERÍA , SERVICIOS Y ABASTECIMIENTO ISEVEN LIMITADA;1;2;;0;;;2025-02-05T07:18:41.157Z;2025-03-07T07:18:26Z;473160;89900.4;0;563060;IVA;19;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;Se incluye todo lo requerido. Para consultas escribir a contacto@ISEVENCHILE.cl o al teléfono +56 22 927 27 95;564667807;1264522;1850423;;4
