CodigoCompraAgil;RutProveedor;CodigoProducto;NombreProducto;Descripcion;Cantidad;PrecioUnitario;MontoTotalProducto
1057532-53-COT25;77.933.159-8;50201706;Café;-2 Unidades Café Instantáneo, cada unidad (Tarro) de 170 G.;2;11822;23644
1057532-53-COT25;77.933.159-8;50161813;Dulces de chocolate o sustitutos;-10 Unidades Queque Cena Chocolate, cada unidad (Bolsa) de  225 G. -Variedades;10;2464;24640
1057532-53-COT25;77.933.159-8;50181905;Galletas dulces o pastelitos;-15 Unidades Galleta Dulce, cada unidad (Paquete) de 120-140 G  -Variedades;15;1641;24615
1057532-53-COT25;77.933.159-8;50181901;Pan fresco;-06 Pan de Molde Cena Fibra Grande (Bolsa) de 600 G.;6;347;2082
1057532-53-COT25;77.933.159-8;50181901;Pan fresco;-06 Pan de Molde Cena Blanco (Bolsa) de 580 G.;6;3477;20862
1057532-53-COT25;77.933.159-8;50192501;Sandwiches y canapés con relleno frescos;-2 Kg Jamón Sandwich Laminado Display;2;12322;24644
1057532-53-COT25;77.933.159-8;50131801;Queso natural;-6 Unidades de Queso Laminado (Display 15 laminas) de 250 G.;6;4107;24642
1057532-53-COT25;77.933.159-8;50192402;Pastas de untar;-10 Unidades de Pasta Untable (Pote) de 170 G.  -Ave Mayo, Ave Pimentón O Similar.;10;2464;24640
1057532-53-COT25;77.933.159-8;50131701;Leche o productos de mantequilla;-04 Unidades de Leche Liquida Entera (Caja de 1 Litro);4;611;2444
1057532-53-COT25;77.933.159-8;50202304;Jugos y néctar envasados;-20 Unidades de Jugo Néctar -Variedades sabores 1 o 1,5 Litros cada Caja o botella;20;1232;24640
1057532-53-COT25;77.848.901-5;50201706;Café;-2 Unidades Café Instantáneo, cada unidad (Tarro) de 170 G.;2;3097;6194
1057532-53-COT25;77.848.901-5;50161813;Dulces de chocolate o sustitutos;-10 Unidades Queque Cena Chocolate, cada unidad (Bolsa) de  225 G. -Variedades;10;3247;32470
1057532-53-COT25;77.848.901-5;50181905;Galletas dulces o pastelitos;-15 Unidades Galleta Dulce, cada unidad (Paquete) de 120-140 G  -Variedades;15;2164;32460
1057532-53-COT25;77.848.901-5;50181901;Pan fresco;-06 Pan de Molde Cena Fibra Grande (Bolsa) de 600 G.;6;455;2730
1057532-53-COT25;77.848.901-5;50181901;Pan fresco;-06 Pan de Molde Cena Blanco (Bolsa) de 580 G.;6;273;1638
1057532-53-COT25;77.848.901-5;50192501;Sandwiches y canapés con relleno frescos;-2 Kg Jamón Sandwich Laminado Display;2;15489;30978
1057532-53-COT25;77.848.901-5;50131801;Queso natural;-6 Unidades de Queso Laminado (Display 15 laminas) de 250 G.;6;5412;32472
1057532-53-COT25;77.848.901-5;50192402;Pastas de untar;-10 Unidades de Pasta Untable (Pote) de 170 G.  -Ave Mayo, Ave Pimentón O Similar.;10;2733;27330
1057532-53-COT25;77.848.901-5;50131701;Leche o productos de mantequilla;-04 Unidades de Leche Liquida Entera (Caja de 1 Litro);4;637;2548
1057532-53-COT25;77.848.901-5;50202304;Jugos y néctar envasados;-20 Unidades de Jugo Néctar -Variedades sabores 1 o 1,5 Litros cada Caja o botella;20;1457;29140
1057532-53-COT25;77.660.833-5;50181905;Galletas dulces o pastelitos;-15 Unidades Galleta Dulce, cada unidad (Paquete) de 120-140 G  -Variedades;15;2332;34980
1057532-53-COT25;77.660.833-5;50181901;Pan fresco;-06 Pan de Molde Cena Fibra Grande (Bolsa) de 600 G.;6;544;3264
1057532-53-COT25;77.660.833-5;50181901;Pan fresco;-06 Pan de Molde Cena Blanco (Bolsa) de 580 G.;6;653;3918
1057532-53-COT25;77.660.833-5;50192501;Sandwiches y canapés con relleno frescos;-2 Kg Jamón Sandwich Laminado Display;2;19744;39488
1057532-53-COT25;77.660.833-5;50131801;Queso natural;-6 Unidades de Queso Laminado (Display 15 laminas) de 250 G.;6;6581;39486
1057532-53-COT25;77.660.833-5;50192402;Pastas de untar;-10 Unidades de Pasta Untable (Pote) de 170 G.  -Ave Mayo, Ave Pimentón O Similar.;10;3886;38860
1057532-53-COT25;77.660.833-5;50131701;Leche o productos de mantequilla;-04 Unidades de Leche Liquida Entera (Caja de 1 Litro);4;932;3728
1057532-53-COT25;77.660.833-5;50202304;Jugos y néctar envasados;-20 Unidades de Jugo Néctar -Variedades sabores 1 o 1,5 Litros cada Caja o botella;20;1974;39480
1057532-53-COT25;77.660.833-5;50201706;Café;-2 Unidades Café Instantáneo, cada unidad (Tarro) de 170 G.;2;19744;39488
1057532-53-COT25;77.660.833-5;50161813;Dulces de chocolate o sustitutos;-10 Unidades Queque Cena Chocolate, cada unidad (Bolsa) de  225 G. -Variedades;10;3948;39480
1057532-46-COT25;96.702.870-3;43231605;Software de contabilidad temporal;"Software D. JUR/RENOV./RED1 USU 1887 Importador de datos 1887-1879. Se debe completar y adjuntar de forma obligatoria: Formulario N°1 ""Identificación del oferente"" y N°2 ""Especificaciones Técnicas"" de lo contrario su oferta será desestimada.";1;184000;184000
1057532-46-COT25;77.616.301-5;43231605;Software de contabilidad temporal;"Software D. JUR/RENOV./RED1 USU 1887 Importador de datos 1887-1879. Se debe completar y adjuntar de forma obligatoria: Formulario N°1 ""Identificación del oferente"" y N°2 ""Especificaciones Técnicas"" de lo contrario su oferta será desestimada.";1;210084;210084
1057532-46-COT25;78.020.509-1;43231605;Software de contabilidad temporal;"Software D. JUR/RENOV./RED1 USU 1887 Importador de datos 1887-1879. Se debe completar y adjuntar de forma obligatoria: Formulario N°1 ""Identificación del oferente"" y N°2 ""Especificaciones Técnicas"" de lo contrario su oferta será desestimada.";1;258083;258083
1057532-46-COT25;78.049.957-5;43231605;Software de contabilidad temporal;"Software D. JUR/RENOV./RED1 USU 1887 Importador de datos 1887-1879. Se debe completar y adjuntar de forma obligatoria: Formulario N°1 ""Identificación del oferente"" y N°2 ""Especificaciones Técnicas"" de lo contrario su oferta será desestimada.";1;289797;289797
1057532-46-COT25;77.660.833-5;43231605;Software de contabilidad temporal;"Software D. JUR/RENOV./RED1 USU 1887 Importador de datos 1887-1879. Se debe completar y adjuntar de forma obligatoria: Formulario N°1 ""Identificación del oferente"" y N°2 ""Especificaciones Técnicas"" de lo contrario su oferta será desestimada.";1;352040;352040
